developer_id,developer
0,SIE Santa Monica Studio
1,Omega Force
2,Capcom
3,Rockstar North
4,Konami
5,Naughty Dog
6,DMA Design
7,Edmund McMillen
8,Argonaut Games
9,Rockstar Leeds
10,SCEA Santa Monica Studio
11,Konami Computer Entertainment Japan
12,Rockstar San Diego
13,Reflections Interactive
14,Kojima Productions
15,Bluepoint Games
16,Traveller's Tales
17,Ubisoft Montreal
18,Rocksteady Studios
19,Crystal Dynamics
20,Stormfront Studios
21,Core Design Ltd.
22,Techland
23,Treyarch
24,The Fun Pimps
25,Avalanche Studios
26,Millenium Interactive
27,Ubisoft
28,Blizzard Entertainment
29,Ninja Theory
30,KCEJ / Kojima Productions
31,Ubisoft Quebec
32,Team Soho
33,Avalanche Software
34,Irem Software Engineering
35,Nintendo EAD
36,The Collective
37,"Hypnos Entertainment, Inc."
38,Luxoflux
39,Ready at Dawn
40,Monolith Productions
41,Shiny Entertainment
42,Neversoft Entertainment
43,Volition Inc.
44,Nintendo
45,Motion Twin
46,Koei Tecmo Games
47,Team Ninja
48,Fatshark
49,IO Interactive
50,Toys for Bob
51,LucasArts
52,Nicalis
53,Dimps Corporation
54,DC Studios
55,Sega
56,Dennaton Games
57,PlatinumGames
58,Capcom Production Studio 4
59,Heavy Iron Studios
60,Illusion Softworks
61,EKO Software
62,Helixe
63,Ubisoft Montpellier
64,TT Fusion
65,Flagship
66,Sucker Punch Productions
67,Acquire
68,Atari
69,Arkane Studios
70,Krome Studios
71,Free Lives Games
72,Tango Gameworks
73,Disney Interactive Studios
74,Remedy Entertainment
75,Capcom Production Studio 1
76,Spike Chunsoft
77,Climax Group
78,Genuine
79,VIS Entertainment
80,Helixe / Altron
81,Terminal Reality
82,Studio MDHR
83,989 Studios
84,Griptonite Games
85,Square Enix
86,1st Playable Productions
87,SCEA Bend Studio / Naughty Dog
88,HAL Laboratory
89,Klei Entertainment
90,Fall Line Studio
91,SingleTrac
92,Vicarious Visions
93,Namco
94,Blue Castle Games
95,Edge of Reality
96,Ubisoft Shanghai
97,Crytek
98,WayForward
99,Blitz Games
100,Westwood Studios
101,Ambrella
102,MTO
103,Nintendo SPD Production Group 1/Team Ninja
104,Project Sora
105,RobTop Games
106,Eidos Montreal
107,Radical Entertainment
108,Evil Tortilla Games
109,Ubisoft Sofia
110,Mouldy Toof Studios
111,3DO
112,KCET
113,Sony Computer Entertainment America
114,Griptonite Studio
115,Capcom Production Studio 3 / Flagship
