publisher_id,publisher
0,Sony Computer Entertainment
1,KOEI
2,Capcom
3,Unknown
4,Rockstar Games
5,Konami
6,Sony Interactive Entertainment
7,Electronic Arts
8,Edmund McMillen
9,GT Interactive
10,LucasArts
11,Ubisoft
12,Warner Bros. Interactive
13,Square Enix
14,Atari
15,Eidos Interactive
16,Deep Silver
17,Activision
18,The Fun Pimps
19,Hasbro Interactive
20,Blizzard Entertainment
21,THQ
22,Nintendo
23,Warner Bros. Interactive Entertainment
24,Konami Digital Entertainment
25,Motion Twin
26,Fatshark
27,Microsoft Studios
28,Nicalis
29,Namco Bandai Games
30,Buena Vista
31,Sega
32,Devolver Digital
33,Take-Two Interactive
34,2K Games
35,Ultra Games
36,Parker Bros.
37,Disney Interactive Studios
38,Bethesda Softworks
39,Remedy Entertainment
40,Vivendi Games
41,Studio MDHR
42,989 Studios
43,D3 Publisher
44,Namco
45,505 Games
46,Virgin Interactive
47,Microsoft Game Studios
48,Team17 Software
49,3DO
50,Black Label Games
51,Tecmo
52,Ocean
53,Midway Games
54,Hudson Soft
55,Microsoft
56,Universal Interactive
57,Studio Wildcard
58,"mixi, Inc"
59,Triternion
60,Mindscape
61,Square
62,Crytek
63,Tecmo Koei
64,Gearbox Software
65,2K Sports
66,Paradox Interactive
67,Mystique
68,20th Century Fox Video Games
69,Messhof
70,Men-A-Vision
71,Namco Bandai
72,DrinkBox Studios
73,Majesco
74,Gathering of Developers
75,Tigervision
76,Psygnosis
77,Mattel Interactive
78,TDK Mediactive
79,Conspiracy Entertainment
80,Sierra Entertainment
81,D3Publisher
82,Lace Mamba Global
83,Coleco
84,Trion Worlds
85,2K Play
86,Level 5
87,Banpresto
88,CPG Products
89,VU Games
90,Agetec
91,BAM! Entertainment
92,Games Workshop
93,Answer Software
94,Frictional Games
95,Fox Interactive
96,Focus Home Interactive
97,Gun Media
98,EuroVideo Medien
99,Spike Chunsoft
100,Bandai
101,Titus
102,Data Age
103,Interplay
104,Imagic
105,10TACLE Studios
106,Scholastic Inc.
107,"Destination Software, Inc"
108,Transhuman Design
109,Koei Tecmo
110,ITT Family Games
111,City Interactive
112,Codemasters
113,Xseed Games
114,CokeM Interactive
115,CBS Electronics
116,Bandai Namco Games
117,Atlus
118,Lince Works
119,Hamster Corporation
120,Ignition Entertainment
121,Red Mile Entertainment
122,NIS America
123,Acclaim Entertainment
124,Night Node Software
125,Neocore Games
126,WolfgangIs
127,Back To Basics Gaming
128,THQ Nordic
129,Knowledge Adventure
130,DL Softworks
131,Bandai Namco Entertainment
132,TopWare Interactive
133,Powerhoof Pty Ltd
134,Sold Out
135,Taito
136,Infogrames
137,ASC Games
138,Kemco
139,Bomb
140,Tomy Corporation
141,AQ Interactive
142,UFO Interactive
143,Telltale Games
144,Avalanche Studios
145,Kadokawa Games
146,PlayWay
147,Acquire
148,Gotham Games
149,TDK Core
150,Destineer
151,Victory Lap Games
152,Spike
153,Paramount Digital Entertainment
154,Dark Energy Digital
155,Sound Source Interactive
156,SouthPeak Interactive
157,GameMill
158,TinyBuild Games
159,Marvelous Entertainment
160,Nippon Columbia
161,Thomas Happ Games
