game_id,na_sales_in_millions,pal_sales_in_millions,japan_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
0,,,,,,51.0
1,,,,,,45.26
2,,,,,,22.0
3,,,,,,21.0
4,6.37,9.85,0.99,3.12,20.32,
5,,,,,,20.0
6,6.06,9.71,0.6,3.02,19.39,
7,,,,,,17.3
8,,,,,,16.25
9,8.41,5.49,0.47,1.78,16.15,
10,9.06,5.33,0.06,1.42,15.86,
11,6.99,4.51,0.3,1.3,13.1,
12,,,,,,12.6
13,6.8,3.11,0.14,1.04,11.09,
14,,,,,,11.0
15,4.79,3.73,0.44,1.62,10.57,
16,,,,,,9.93
17,,,,,,9.3
18,4.7,3.25,0.01,0.76,8.72,
19,,,,,,8.0
20,2.9,2.83,0.24,1.74,7.72,
21,,,,,,7.6
22,,,,,,7.17
23,,,,,,7.0
24,,,,,,7.0
25,3.28,2.22,0.21,1.02,6.74,
26,2.82,2.58,0.17,1.0,6.57,
27,3.77,2.03,0.09,0.6,6.5,
28,3.11,2.8,0.02,0.33,6.27,
29,,,,,,6.0
30,,,,,,6.0
31,2.55,2.11,0.1,0.94,5.7,
32,3.57,1.57,,0.52,5.66,
33,2.54,1.95,0.21,0.86,5.57,
34,3.28,1.64,0.07,0.56,5.55,
35,2.72,1.89,0.11,0.82,5.54,
36,,,,,,5.5
37,3.14,1.55,0.08,0.52,5.3,
38,1.96,1.42,1.08,0.64,5.1,
39,1.7,2.03,0.16,1.19,5.08,
40,2.32,1.73,0.12,0.8,4.97,
41,,,,,,4.96
42,1.91,2.01,0.09,0.82,4.83,
43,2.83,1.49,,0.45,4.77,
44,2.99,1.28,0.04,0.44,4.75,
45,2.36,2.1,0.02,0.25,4.73,
46,1.94,1.95,0.08,0.7,4.67,
47,2.29,1.97,0.13,0.24,4.63,
48,,,,,,4.62
49,,,,,,4.52
50,,,,,,4.5
51,2.71,1.51,0.03,0.23,4.48,
52,,,,,,4.3
53,2.26,1.33,0.07,0.63,4.28,
54,,,,,,4.24
55,1.41,2.03,0.1,0.69,4.23,
56,2.28,1.47,0.04,0.44,4.22,
57,,,,,,4.18
58,,,,,,4.16
59,3.79,0.27,,0.11,4.16,
60,1.25,2.16,0.09,0.65,4.14,
61,1.65,1.68,0.11,0.66,4.11,
62,1.22,2.11,0.11,0.63,4.06,
63,,,,,,4.0
64,,,,,,4.0
65,,,,,,4.0
66,,,,,,4.0
67,1.44,1.73,0.15,0.62,3.95,
68,,,,,,3.9
69,,,,,,3.85
70,,,,,,3.83
71,,,,,,3.7
72,,,,,,3.6
73,,,,,,3.6
74,0.9,2.06,0.08,0.55,3.6,
75,2.34,0.9,0.0,0.34,3.58,
76,1.56,1.4,0.07,0.5,3.54,
77,1.23,1.77,0.05,0.49,3.54,
78,2.24,0.95,0.02,0.33,3.54,
79,2.87,0.39,0.03,0.25,3.53,
80,1.98,1.14,0.01,0.41,3.53,
81,2.13,0.93,0.12,0.34,3.53,
82,1.96,1.33,,0.23,3.52,
83,,,,,,3.5
84,,,,,,3.5
85,,,,,,3.47
86,1.13,2.07,,0.22,3.42,
87,1.75,1.2,0.02,0.43,3.41,
88,0.98,1.74,0.12,0.52,3.36,
89,,,,,,3.33
90,1.47,1.39,0.03,0.43,3.32,
91,1.5,1.28,0.05,0.46,3.28,
92,1.89,1.05,0.02,0.31,3.27,
93,,,,,,3.26
94,,,,,,3.2
95,1.03,1.6,0.05,0.51,3.19,
96,1.78,1.12,0.09,0.19,3.18,
97,1.7,1.25,0.02,0.16,3.13,
98,0.88,0.97,0.88,0.39,3.12,
99,1.98,0.79,0.02,0.28,3.07,
100,,,,,,3.06
101,0.97,1.15,0.5,0.42,3.04,
102,1.85,1.04,,0.13,3.02,
103,,,,,,3.0
104,,,,,,3.0
105,,,,,,3.0
106,,,,,,3.0
107,,,,,,3.0
108,1.36,1.15,0.04,0.41,2.96,
109,,,,,,2.9
110,,,,,,2.9
111,1.87,0.57,0.11,0.3,2.85,
112,,,,,,2.81
113,,,,,,2.8
114,1.35,1.15,,0.3,2.79,
115,1.74,0.78,,0.26,2.77,
116,1.26,1.14,0.07,0.3,2.77,
117,,,,,,2.76
118,,,,,,2.75
119,1.85,0.64,0.01,0.19,2.69,
120,,,,,,2.67
121,1.59,0.8,,0.26,2.65,
122,1.15,1.11,,0.4,2.65,
123,,,,,,2.65
124,1.86,0.55,0.11,0.08,2.6,
125,1.53,0.83,,0.24,2.59,
126,,,,,,2.58
127,0.6,1.45,0.08,0.38,2.51,
128,1.84,0.56,,0.09,2.49,
129,0.86,1.06,0.18,0.37,2.48,
130,1.15,1.14,0.06,0.13,2.48,
131,1.34,0.92,,0.22,2.47,
132,,,,,,2.47
133,1.18,0.74,0.13,0.4,2.45,
134,,,,,,2.42
135,,,,,,2.42
136,,,,,,2.4
137,1.48,0.7,,0.21,2.38,
138,0.96,1.08,0.04,0.3,2.37,
139,0.58,1.38,0.04,0.36,2.37,
140,1.26,0.87,,0.21,2.34,
141,1.51,0.59,,0.22,2.32,
142,0.79,1.35,0.04,0.14,2.32,
143,,,,,,2.31
144,1.02,0.93,,0.36,2.31,
145,,,,,,2.3
146,,,,,,2.3
147,1.08,0.74,0.15,0.32,2.29,
148,,,,,,2.25
149,,,,,,2.24
150,1.74,0.25,0.21,0.03,2.23,
151,1.01,0.86,,0.35,2.22,
152,2.06,0.12,,0.02,2.2,
153,,,,,,2.16
154,,,,,,2.15
155,1.26,0.6,0.05,0.18,2.09,
156,0.46,0.42,0.96,0.25,2.08,
157,1.15,0.77,0.04,0.1,2.06,
158,0.59,1.08,0.07,0.32,2.06,
159,0.89,0.95,0.02,0.21,2.06,
160,1.2,0.62,0.04,0.19,2.06,
161,0.82,0.84,0.06,0.33,2.04,
162,0.71,1.02,,0.31,2.04,
163,,,,,,2.02
164,,,,,,2.02
165,,,,,,2.0
166,,,,,,2.0
167,,,,,,2.0
168,0.95,0.64,0.27,0.13,1.99,
169,1.12,0.61,0.07,0.16,1.97,
170,1.84,0.11,,0.02,1.97,
171,0.62,1.02,0.01,0.31,1.97,
172,0.77,0.85,0.01,0.32,1.96,
173,1.26,0.61,,0.09,1.95,
174,0.59,1.0,0.01,0.3,1.91,
175,0.86,0.87,0.01,0.16,1.9,
176,1.05,0.48,0.08,0.26,1.87,
177,1.11,0.56,0.0,0.19,1.86,
178,,,,,,1.86
179,0.56,0.9,0.11,0.28,1.86,
180,1.33,0.37,,0.15,1.85,
181,,,,,,1.8
182,,,,,,1.8
183,,,,,,1.8
184,,,,,,1.79
185,,,,,,1.79
186,1.01,0.62,,0.15,1.79,
187,1.12,0.58,,0.08,1.78,
188,0.39,1.01,0.02,0.36,1.78,
189,1.14,0.47,,0.17,1.78,
190,,,,,,1.78
191,,,,,,1.77
192,0.85,0.76,,0.16,1.77,
193,,,,,,1.77
194,0.86,0.67,,0.22,1.76,
195,1.26,0.47,,0.03,1.76,
196,1.05,0.53,0.03,0.15,1.76,
197,0.45,0.92,0.06,0.32,1.75,
198,,,,,,1.75
199,0.73,0.66,0.07,0.28,1.75,
200,,,,,,1.74
201,1.48,0.2,,0.05,1.73,
202,0.94,0.62,0.1,0.07,1.73,
203,0.85,0.66,,0.22,1.72,
204,0.68,0.88,0.01,0.13,1.7,
205,,,,,,1.7
206,,,,,,1.7
207,,,,,,1.7
208,0.68,0.82,,0.19,1.7,
209,1.01,0.51,0.01,0.15,1.69,
210,0.87,0.66,0.08,0.08,1.69,
211,0.88,0.54,0.02,0.24,1.68,
212,1.21,0.3,,0.14,1.65,
213,0.53,0.71,0.13,0.25,1.62,
214,,,,,,1.6
215,0.59,0.83,0.02,0.17,1.6,
216,,,,,,1.59
217,0.58,0.45,0.34,0.2,1.58,
218,0.97,0.46,,0.14,1.58,
219,0.73,0.69,,0.15,1.57,
220,,,,,,1.56
221,1.05,0.36,,0.15,1.56,
222,1.32,0.19,,0.05,1.56,
223,0.85,0.55,,0.15,1.56,
224,0.57,0.87,0.02,0.09,1.55,
225,,,,,,1.53
226,,,,,,1.52
227,1.26,0.05,,0.21,1.51,
228,,,,,,1.51
229,0.8,0.5,,0.21,1.51,
230,0.47,0.41,0.44,0.18,1.5,
231,,,,,,1.5
232,,,,,,1.5
233,1.21,0.14,0.1,0.04,1.5,
234,0.5,0.7,0.04,0.25,1.49,
235,0.75,0.53,0.09,0.13,1.49,
236,0.84,0.51,,0.13,1.48,
237,,,,,,1.48
238,,,,,,1.48
239,0.82,0.59,,0.07,1.48,
240,1.01,0.31,0.01,0.14,1.47,
241,0.84,0.49,0.0,0.13,1.47,
242,1.02,0.38,,0.06,1.46,
243,,,,,,1.45
244,,,,,,1.45
245,0.71,0.61,,0.12,1.44,
246,0.95,0.37,,0.12,1.44,
247,0.8,0.54,,0.09,1.43,
248,0.77,0.52,0.01,0.12,1.42,
249,1.07,0.35,,,1.41,
250,1.09,0.28,,0.04,1.41,
251,0.58,0.51,,0.32,1.41,
252,0.97,0.37,0.03,0.05,1.41,
253,1.07,0.28,,0.05,1.4,
254,,,,,,1.4
255,,,,,,1.4
256,,,,,,1.4
257,0.63,0.62,,0.14,1.39,
258,1.05,0.17,0.15,0.02,1.39,
259,0.87,0.38,,0.13,1.39,
260,1.26,0.02,,0.1,1.38,
261,0.96,0.37,,0.05,1.38,
262,0.43,0.57,0.15,0.22,1.37,
263,0.85,0.28,0.13,0.1,1.36,
264,,,,,,1.35
265,,,,,,1.35
266,0.71,0.53,,0.12,1.35,
267,0.79,0.34,0.08,0.13,1.34,
268,0.58,0.45,0.09,0.21,1.33,
269,0.66,0.5,0.05,0.12,1.33,
270,0.73,0.5,,0.09,1.32,
271,,,,,,1.32
272,,,,,,1.32
273,,,,,,1.31
274,0.84,0.35,,0.12,1.31,
275,,,,,,1.31
276,,,,,,1.3
277,0.46,0.57,0.07,0.2,1.3,
278,,,,,,1.3
279,1.1,0.14,,0.04,1.28,
280,0.63,0.49,,0.16,1.28,
281,0.62,0.49,,0.16,1.28,
282,0.62,0.48,,0.16,1.27,
283,0.7,0.44,,0.12,1.26,
284,0.43,0.5,0.05,0.28,1.26,
285,0.49,0.0,0.01,0.75,1.25,
286,1.17,0.07,,0.01,1.25,
287,,,,,,1.25
288,0.61,0.48,,0.16,1.25,
289,0.52,0.56,,0.17,1.25,
290,0.65,0.41,,0.18,1.24,
291,0.82,0.38,,0.04,1.24,
292,1.12,0.03,,0.09,1.24,
293,0.54,0.55,,0.13,1.23,
294,0.44,0.4,0.21,0.16,1.21,
